Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T15:26:12.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T15:27:34.400000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
26:12.800,00:00.000,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,,0,0,0,0,0,0,0,0,0,
26:12.870,00:00.070,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:12.930,00:00.130,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.000,00:00.200,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.070,00:00.270,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.130,00:00.330,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.200,00:00.400,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.270,00:00.470,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.330,00:00.530,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.400,00:00.600,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.470,00:00.670,0,1,0.000,1,0,64.288,299.91,35.0205,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
