Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123156,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T15:26:13.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T15:27:29.800000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
26:13.800,00:00.000,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,,0,0,0,0,0,0,0,0,0,
26:13.870,00:00.070,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:13.930,00:00.130,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.000,00:00.200,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.070,00:00.270,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.130,00:00.330,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.200,00:00.400,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.270,00:00.470,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.330,00:00.530,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.400,00:00.600,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.470,00:00.670,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.530,00:00.730,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.600,00:00.800,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.670,00:00.870,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.730,00:00.930,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.800,00:01.000,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.870,00:01.070,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.930,00:01.130,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.000,00:01.200,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.070,00:01.270,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.130,00:01.330,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.200,00:01.400,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.270,00:01.470,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.330,00:01.530,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.400,00:01.600,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.470,00:01.670,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.530,00:01.730,0,1,0.000,1,0,59.902,276.354,35.0203,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
