Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123439,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T15:26:14.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T15:27:39,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
26:14.800,00:00.000,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,,0,0,0,0,0,0,0,0,0,
26:14.870,00:00.070,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:14.930,00:00.130,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.000,00:00.200,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.070,00:00.270,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.130,00:00.330,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.200,00:00.400,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.270,00:00.470,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.330,00:00.530,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.400,00:00.600,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.470,00:00.670,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.530,00:00.730,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.600,00:00.800,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.670,00:00.870,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.730,00:00.930,0,1,0.000,1,0,65.381,280.237,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.800,00:01.000,0,1,0.000,1,0,65.29,280.2,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.870,00:01.070,0,1,0.000,1,0,65.29,280.2,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:15.930,00:01.130,0,1,0.000,1,0,65.29,280.2,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
26:16.000,00:01.200,0,1,0.000,1,0,65.154,280.033,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
